,Id_Car,Nombre_Car,Descrip_Car,Estado_Car,Fecha_Vigencia_Car,Modalidad_Car,Jornada_Car
13,30f7bf7e-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Secretario administrativo,Nihil ea maiores totam excepturi eligendi. Sint nam ratione ad hic accusantium. Cumque sed ducimus labore.,Activo,1968-02-28,Distancia,Intensiva
14,30f7c032-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Limpiador y asistente doméstico,Quasi magnam natus accusamus perspiciatis quaerat repudiandae. Eveniet commodi itaque veritatis sequi nesciunt vel placeat.,Inactivo,1977-04-25,Distancia,Matutina
15,30f7c0dc-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Catador de alimentos y bebidas,Illum unde iste ullam veritatis eligendi rerum. Dolorum totam soluta tempore quis ipsa.,Inactivo,1948-12-06,Distancia,Matutina
16,30f7c17c-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Arquitecto,Sunt voluptatibus odio natus. Non eligendi voluptates praesentium recusandae at autem. Repellat asperiores magni eum.,Inactivo,1954-06-24,Presencial,En linea
17,30f7c226-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Platero,Officia delectus quia et tenetur. Eius ut architecto debitis eligendi.,Activo,1947-12-13,Distancia,En linea
18,30f7c2d0-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Modelador de vidrio,Sed dicta voluptatem sapiente tempora. Aliquam tempora nisi sapiente perspiciatis quisquam enim.,Activo,1963-06-28,En linea,Intensiva
19,30f7c398-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Diseñador de bases de datos,Provident excepturi fuga dolores voluptatum. Eos pariatur cum eaque architecto blanditiis vel. Assumenda doloribus itaque facere nobis hic.,Inactivo,1964-10-03,Distancia,Intensiva
20,30f7c442-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Auxiliar de servicio de abordo,Et doloribus consequuntur quos pariatur ipsum ipsum. Mollitia ullam perspiciatis. Nihil veritatis quasi neque consectetur natus tempore.,Inactivo,1971-02-07,Presencial,Intensiva
21,30f7c4f6-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Ingeniero metalúrgico,Odio amet non distinctio earum. Quasi esse quis impedit. Reiciendis debitis hic at. Ad laudantium cum optio quae necessitatibus molestias.,Inactivo,1963-03-06,Distancia,Matutina
22,30f7c5aa-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Expendedor de gasolineras,Possimus harum rerum dolorum itaque minus aperiam. Dolore non reprehenderit necessitatibus cupiditate.,Activo,1967-08-19,Presencial,En linea
23,30f7c654-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Empleado de ventanillas de informaciones,Cumque praesentium cum nihil commodi. Veritatis suscipit quas numquam. Nulla impedit delectus tempora laudantium vel perspiciatis.,Activo,1948-03-04,Distancia,Vespertina
24,30f7c6fe-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Personal de pompas fúnebres y embalsamador,Neque quod libero ipsam vero deserunt eligendi. Occaecati hic excepturi.,Activo,1971-06-19,Distancia,Matutina
25,30f7c7bc-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Pintor y empapelador,Sapiente expedita qui. Adipisci voluptatibus ab cumque enim deserunt natus.,Activo,1963-06-08,Presencial,Vespertina
26,30f7c870-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Operador de instalaciones de procesamiento de la madera,Libero esse praesentium saepe nobis explicabo. Quia alias sequi libero optio blanditiis minus odio. Architecto labore aliquam.,Activo,1954-09-20,En linea,Matutina
27,30f7c924-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Conductor de taxis,Veritatis assumenda illum explicabo facilis distinctio a. Maxime officia dignissimos dolores voluptas. Repudiandae voluptatum quia odit quidem incidunt architecto quas.,Activo,1945-03-14,Presencial,En linea
28,30f7c9ce-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Director de investigación y desarrollo,Molestias possimus ipsam. Eaque iusto expedita ab. Eos ut aut quae vitae.,Inactivo,1973-11-04,Distancia,En linea
29,30f7ca78-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Pintor y empapelador,Praesentium saepe modi. Earum cum explicabo recusandae necessitatibus.,Inactivo,1945-10-05,Distancia,Matutina
30,30f7cb22-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Practicante paramédico,Perspiciatis cum veritatis vero. Consectetur placeat maxime aliquam repellendus tempora sequi.,Inactivo,1979-10-25,Presencial,Intensiva
31,30f7cc76-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Mecánico y reparador de vehículos de motor,Itaque officiis totam id. Totam pariatur deleniti ipsam. Nobis alias minus fuga. Iste aut ea debitis deleniti nihil nisi.,Inactivo,1960-08-30,Presencial,Vespertina
32,30f7cd2a-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Ingeniero metalúrgico,Atque reiciendis enim cum aperiam. Vitae recusandae quaerat atque rerum dolore hic. Ullam esse vero quo dolores earum quae numquam.,Activo,1970-11-20,En linea,Vespertina
33,30f7cdd4-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Gerente general,Consequuntur reiciendis quo vel aliquam. Deleniti nisi ipsam odio. Asperiores dolorum error fuga a nihil sed. Qui aliquid veniam ad fuga aliquid.,Activo,1972-05-26,Presencial,Matutina
34,30f7ce74-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Entrevistador de encuestas,Deleniti assumenda praesentium culpa mollitia quia error. Odit veritatis tempore dolores et.,Inactivo,1972-07-16,En linea,En linea
35,30f7cf32-74f4-11ed-9ec6-0242ac1c000c,"Tecnología en Operario de la conservación de frutas, legumbres y verduras",Minus dicta modi quam. Tenetur voluptatum eos velit delectus.,Activo,1969-05-17,Distancia,Intensiva
36,30f7cfe6-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Oficial de préstamos y créditos,Quaerat odio dolorem minus quibusdam illum nulla incidunt. Id eveniet soluta accusamus quibusdam. Deleniti esse dolorum exercitationem veritatis maiores.,Activo,1952-12-16,En linea,Intensiva
37,30f7d09a-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Árbitro deportivo,Voluptates neque eveniet sequi qui. Commodi fugiat quia officiis est quisquam.,Inactivo,1967-09-22,Distancia,Intensiva
38,30f7d144-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Maestro de enseñanza primaria,Error voluptatum quis debitis numquam rerum recusandae. Eius labore consequatur accusamus quisquam.,Activo,1948-07-19,Presencial,Intensiva
39,30f7d45a-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Lingüista,Illum laborum cum nulla rem. Repellendus minus officiis maxime.,Activo,1955-11-24,Distancia,Vespertina
40,30f7d586-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Ayudante de odontología,Consectetur corporis totam cumque possimus eius eaque. Quo reiciendis harum quos deleniti. Consectetur molestiae quae accusamus quisquam sint nesciunt.,Inactivo,1956-08-21,Presencial,Intensiva
41,30f7d63a-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Adivinador,Pariatur ut tempora similique. Aut laboriosam facilis cumque id delectus.,Activo,1977-10-16,Presencial,Intensiva
42,30f7d7d4-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Físico,Magnam omnis quos sint exercitationem. Cum adipisci eligendi nesciunt numquam eligendi. Praesentium commodi nisi sit neque.,Activo,1978-06-28,En linea,Intensiva
43,30f7d892-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Mecánico y ajustador electricista,Laudantium quis explicabo.,Activo,1977-04-26,Presencial,Matutina
44,30f7d93c-74f4-11ed-9ec6-0242ac1c000c,"Tecnología en Operador de incineradores, instalaciones de tratamiento de agua",Autem modi voluptatem minus magni ab cupiditate. Excepturi hic eos iste laboriosam aspernatur ab.,Inactivo,1958-04-07,Distancia,Vespertina
45,30f7d9e6-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Sericultor,Alias veniam perferendis corporis saepe saepe. Voluptate amet tempore quo. Optio excepturi doloremque dolorum dicta. Dolorem tenetur illo cupiditate est nihil.,Activo,1969-03-13,En linea,Vespertina
46,30f7db1c-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Técnico de la Web,Amet aspernatur voluptatem vero amet mollitia quisquam ipsum. Dolorem nostrum mollitia tempore temporibus. Modi veritatis architecto optio illo quod reiciendis illum.,Activo,1953-10-19,En linea,Matutina
47,30f7dbd0-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Diseñador multimedia,Iure voluptatum aspernatur architecto unde odio. A sed ullam voluptas nulla suscipit enim. Cupiditate ducimus expedita. Nisi nam iure exercitationem in dolore commodi.,Activo,1963-09-19,Presencial,Matutina
48,30f7dc7a-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Cortador de vidrio,Repellendus ad eius explicabo repellendus tenetur saepe adipisci. Provident aut omnis deserunt ab rerum.,Activo,1945-12-27,En linea,Matutina
49,30f7dd38-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Revisor y cobrador de los transportes públicos,Expedita amet libero eius voluptas ipsum ipsa. Consequatur inventore sapiente ducimus atque.,Activo,1955-05-06,Distancia,Matutina
50,30f7dea0-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Técnico en aparatos de diagnóstico y tratamiento médico,Eligendi et numquam asperiores possimus repellendus molestias. Illo nam earum repellendus corporis aut omnis.,Activo,1961-07-06,En linea,Intensiva
51,30f7df5e-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Operador de instalaciones mineras,Dolorum culpa culpa quasi magnam nam fuga. Facilis cupiditate at rerum ea iure id rem. Dolorem molestiae pariatur praesentium incidunt.,Inactivo,1969-04-16,En linea,Matutina
52,30f7e008-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Vendedor de comidas al mostrador,Quas error fugiat. Alias non culpa at corrupti itaque aliquam maiores.,Inactivo,1974-01-12,Distancia,En linea
53,30f7e134-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Conductor de tranvía,Incidunt sit sit quaerat possimus mollitia fugiat. Magnam quam provident ex.,Activo,1946-07-13,Distancia,En linea
54,30f7e1e8-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Clasificador de desechos,Mollitia neque qui ea distinctio quaerat. Aliquam rerum alias nesciunt nam aspernatur quidem magni. Occaecati possimus nesciunt ut ratione. Vero aspernatur accusamus exercitationem.,Activo,1949-06-10,Distancia,Vespertina
55,30f7e2e2-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Instructor en tecnologías de la información,Sint quam minima delectus quaerat. Asperiores dolorum est molestias sit minima commodi. Veniam fugiat rerum incidunt numquam perspiciatis labore adipisci.,Activo,1968-08-24,Presencial,Matutina
56,30f7e396-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Compositor,Architecto dolores sequi esse doloribus ducimus. Rerum reiciendis accusamus suscipit doloremque.,Activo,1944-06-02,Distancia,Intensiva
57,30f7e4e0-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Clasificador de desechos,Delectus deleniti suscipit autem culpa. Hic blanditiis id voluptas.,Inactivo,1949-11-07,Distancia,En linea
58,30f7e580-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Catador de alimentos y bebidas,Ducimus at adipisci totam illum. Totam molestiae amet cupiditate enim.,Activo,1945-02-13,Distancia,Intensiva
59,30f7e63e-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Operador de máquinas para fabricar productos de papel,Explicabo reiciendis fugiat earum ut. Quas odit autem ipsam atque doloribus. Error eveniet mollitia perspiciatis similique eum.,Activo,1975-01-07,En linea,Intensiva
60,30f7e774-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Personas que realizan trabajos varios,Dolorum doloribus ducimus vitae omnis illo sunt. Nemo officia beatae facere. Corporis id asperiores eum quas.,Activo,1941-07-01,En linea,Vespertina
61,30f7e828-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Soplador de vidrio,Dicta recusandae mollitia saepe ullam harum voluptatibus. Dolor dicta eveniet inventore sapiente voluptatum necessitatibus enim. Alias placeat earum sint iste eum cumque.,Activo,1947-03-09,Distancia,Intensiva
62,30f7e8e6-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Cristalero,Repellendus enim voluptatem sunt natus soluta voluptas magnam. Nam facere quidem distinctio culpa omnis aspernatur. Veritatis est illum commodi repellendus est repellendus asperiores.,Activo,1971-05-09,En linea,Matutina
63,30f7e99a-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Dibujante técnico,Modi nihil dolores ut repudiandae dicta harum quisquam. Laborum sed iste dolorum pariatur.,Inactivo,1960-09-09,En linea,Intensiva
64,30f7ead0-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Ensamblador de equipos eléctricos,Expedita ratione quaerat quisquam deleniti aperiam dignissimos. Consequatur expedita quia dolor.,Activo,1957-09-01,Presencial,Matutina
65,30f7eb84-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Alfarero,Neque provident earum excepturi eveniet odit. Blanditiis rem culpa vero itaque tenetur maxime non.,Inactivo,1975-11-02,Distancia,En linea
66,30f7ec24-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Técnico en ingeniería mecánica,Voluptatum voluptas aspernatur necessitatibus earum debitis. Autem eligendi recusandae nesciunt sunt a sapiente. Libero cupiditate culpa corporis magni et error.,Activo,1967-06-22,Distancia,En linea
67,30f7ecc4-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Vendedor por teléfono,Aut perspiciatis suscipit accusantium. Possimus dolorem explicabo quo minima eum.,Inactivo,1949-06-15,Presencial,En linea
68,30f7ede6-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Ecónomo y mayordomos domésticos,Officia cum aut rerum amet expedita dicta. Deleniti ut voluptatum fugit. Veritatis ad explicabo earum temporibus quam.,Activo,1945-09-17,Presencial,Matutina
69,30f7eeae-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Tipógrafo,Officiis cum nihil explicabo labore eaque deserunt. Corporis temporibus debitis ratione necessitatibus accusantium exercitationem tempora.,Activo,1979-12-04,Presencial,Matutina
70,30f7ef62-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Catador de alimentos y bebidas,Saepe fugiat impedit eos. Laudantium iste quod placeat.,Inactivo,1958-09-03,En linea,Matutina
71,30f7f002-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Pescadero,Blanditiis suscipit incidunt ducimus. Vitae laboriosam excepturi occaecati similique perferendis non in.,Activo,1963-10-07,Distancia,En linea
72,30f7f124-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Especialista en métodos pedagógicos,Voluptatum repellat cum sit nostrum tempora. Itaque vitae quam quas doloremque quo necessitatibus. Temporibus nobis earum voluptates occaecati eos atque.,Activo,1967-07-24,Presencial,En linea
73,30f7f1e2-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Representante comercial,Aut ducimus pariatur distinctio dolores.,Activo,1960-09-15,Distancia,Vespertina
74,30f7f39a-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Auxiliar de maestro,Hic delectus blanditiis eum impedit consequuntur. Voluptatum nisi iusto modi. Delectus assumenda aliquam quae doloribus consectetur minima deleniti.,Inactivo,1964-10-30,En linea,Intensiva
75,30f7f458-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Director de políticas y planificación,Dicta possimus voluptatibus earum. Est totam quisquam vero modi doloremque itaque.,Inactivo,1966-12-05,Presencial,Vespertina
76,30f7f50c-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Operador de instalaciones de vidriería y cerámica,Exercitationem delectus autem quae laudantium. Fugiat aperiam id cupiditate consequatur error unde. Corrupti ab quae natus unde quo iure repellendus.,Activo,1972-07-02,En linea,Vespertina
77,30f7f5c0-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Codificador de datos,Totam maxime dolor sit. Odio veniam quisquam.,Activo,1979-01-10,En linea,Vespertina
78,30f7f70a-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Actuario,Explicabo rem excepturi suscipit perferendis maxime impedit assumenda. Cupiditate error laborum consectetur. Vitae aut necessitatibus molestias error fugiat iusto.,Inactivo,1955-06-14,En linea,En linea
79,30f7f7b4-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Conductor de tranvía,Nulla quam tempore rem recusandae nemo. Blanditiis necessitatibus aperiam debitis voluptates. Neque recusandae animi aspernatur cum debitis veritatis.,Inactivo,1944-02-05,Presencial,En linea
80,30f7f85e-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Agente inmobiliario,Quas temporibus vero commodi ipsam minus. Temporibus natus porro praesentium eum provident ex. Id dicta fugiat commodi sapiente molestias.,Inactivo,1952-08-25,Distancia,Intensiva
81,30f7f8fe-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Director de recursos humanos,Maxime eum sunt optio magnam perspiciatis magnam atque. Magnam cupiditate ipsam ea deleniti labore animi.,Activo,1953-10-02,Presencial,Vespertina
82,30f7fa34-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Músico,Repellendus quam nobis delectus.,Activo,1979-03-29,En linea,Vespertina
83,30f7fade-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Empleado de biblioteca,Non ducimus quisquam consectetur ea iure laborum quam.,Inactivo,1965-03-27,En linea,Intensiva
84,30f7fb88-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Peón de explotaciones de cultivos mixtos y ganaderos,Tempora suscipit in consectetur. Atque illo quisquam iusto repudiandae quaerat quae expedita. Numquam tenetur nostrum nihil beatae ipsam.,Inactivo,1945-09-28,Distancia,Matutina
85,30f7fc28-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Profesional de nivel medio de enfermería,Dolore totam beatae. Officia nobis laudantium magnam. Eveniet magnam officia eum.,Inactivo,1959-10-12,Distancia,Matutina
86,30f7fd5e-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Guardafrenos,Laborum ullam deleniti magnam necessitatibus odit provident eveniet. Aperiam laboriosam suscipit blanditiis nam animi alias.,Activo,1965-04-05,Distancia,Vespertina
87,30f7fdfe-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Fontanero,Dolor molestias fugiat expedita sed. Ratione accusamus dolores quam. Quos odio cupiditate error labore quos. Incidunt mollitia laudantium.,Activo,1968-07-13,Distancia,Vespertina
88,30f7fe9e-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Técnico en química industrial,Dignissimos beatae similique distinctio tenetur perferendis unde. Quae inventore deserunt dolore at aliquid et atque.,Inactivo,1978-07-26,Presencial,Intensiva
89,30f7fffc-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Delineante,Vel sequi dolores nesciunt sit. Quam quas iste sed architecto neque impedit. Itaque iusto suscipit.,Inactivo,1962-03-18,En linea,Matutina
90,30f800b0-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Ayudante de cámara,Mollitia repellendus officiis facilis. Nostrum accusantium illo voluptatem. Expedita doloremque vitae quas. Ipsa id recusandae nostrum asperiores eaque molestias.,Inactivo,1973-02-05,Presencial,Matutina
91,30f80146-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Herrero,Dicta eligendi nemo quaerat perspiciatis. In sequi labore aliquam. Mollitia sint eum eos iste rerum cumque. Impedit asperiores magni maiores similique sequi sit.,Inactivo,1955-09-16,Distancia,Vespertina
92,30f801fa-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Profesional de nivel medio del derecho y servicios legales,Architecto tenetur laudantium commodi dolor. Alias aliquid quo sequi impedit corrupti dolorum. Quos non quod a aliquam doloribus.,Activo,1966-02-26,Distancia,Matutina
93,30f803da-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Operador de máquinas para fabricar cemento y otros productos minerales,Quaerat quam vero ad. Eos ipsam doloremque ducimus. Quis ipsa nam quibusdam velit possimus non.,Activo,1957-02-03,Distancia,Vespertina
94,30f80484-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Joyero,Reiciendis perferendis nesciunt asperiores. Possimus deserunt adipisci et modi magni provident.,Activo,1969-12-29,En linea,Vespertina
95,30f8051a-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Tenedor de libros,Odit nihil sint quam quidem quisquam dolore voluptatem. Asperiores aliquid laboriosam eos totam quae mollitia rem. Incidunt repellat consequuntur.,Activo,1972-02-08,Distancia,Intensiva
96,30f805ba-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Operador de máquinas para fabricar productos de papel,Perferendis impedit facere qui repudiandae quisquam eos. Similique quaerat magni animi non dicta debitis numquam. Necessitatibus sunt ullam soluta neque cupiditate labore.,Activo,1951-03-03,En linea,Matutina
97,30f806dc-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Maquinista de locomotoras,Ut repellat perspiciatis nulla nihil magnam. Laboriosam tempore explicabo rem perspiciatis fugiat praesentium fugiat.,Activo,1972-06-24,En linea,Intensiva
98,30f80786-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Perforador y sondista de pozos,Provident incidunt odit.,Activo,1954-03-14,En linea,Matutina
99,30f80830-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Técnico en ciencias biológicas,Tempora non repudiandae nostrum impedit sequi sint. Sint assumenda sint illum nulla itaque nam.,Inactivo,1940-12-14,Distancia,En linea
100,30f808d0-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Agente de maniobras,Odio iure fugiat veritatis autem. Beatae officiis eius.,Inactivo,1972-11-11,Presencial,En linea
101,30f80a2e-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Director de servicios de cuidados infantiles,Nam assumenda delectus consequatur odit modi. Fuga qui autem animi est. Saepe voluptatibus sunt aliquam.,Activo,1972-01-16,Distancia,Matutina
102,30f80ad8-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Controlador de procesos,Quos delectus facilis velit fugiat deserunt mollitia voluptas. Sit voluptates veniam fuga eaque ea. Delectus suscipit unde beatae provident repellat. Corporis eaque itaque laborum magnam laborum.,Inactivo,1942-07-02,En linea,Matutina
103,30f80b78-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Cajero de banco,Provident laboriosam sit et. Exercitationem dignissimos est explicabo nemo cumque. Nihil hic repudiandae nam tempore aut.,Inactivo,1951-02-03,Distancia,Vespertina
104,30f80c18-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Director de investigación y desarrollo,Non illum molestiae doloremque. Vero temporibus itaque quaerat alias ipsum. Ex blanditiis ad quos minima similique aut.,Activo,1963-05-11,En linea,Intensiva
105,30f80d3a-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Recolector de dinero en aparatos de venta automática y lector de medidores,Pariatur eius nostrum. Eligendi sunt molestias fugit quasi.,Inactivo,1944-05-06,En linea,Intensiva
106,30f80de4-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Secretario ejecutivo,Excepturi exercitationem distinctio. Voluptatum modi porro nesciunt recusandae optio voluptas neque. Neque dolorum praesentium laborum.,Activo,1949-06-01,Distancia,Matutina
107,30f80e8e-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Gorjadore,Officia voluptatem sit repellendus. Voluptas impedit nihil. Architecto neque odio rerum. Illum labore distinctio eligendi at officiis reiciendis.,Inactivo,1975-04-10,En linea,Intensiva
108,30f80f24-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Técnico de la Web,Repudiandae consequatur ipsam animi dicta. Sit aperiam esse non. Velit eum itaque illum.,Activo,1952-05-31,Distancia,Matutina
109,30f80fc4-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Técnico en aparatos de diagnóstico y tratamiento médico,Ut eligendi expedita ex ipsa voluptatibus odit. Suscipit architecto sunt nemo soluta. Blanditiis nihil molestiae vitae molestiae.,Inactivo,1965-09-26,Distancia,Matutina
110,30f81154-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Profesional de partería,Consectetur tempora facere excepturi. Dicta inventore unde illum dolor veniam ex.,Inactivo,1973-06-17,Distancia,Matutina
111,30f811f4-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Encuadernador,Consectetur consequuntur et doloremque dolorem. Animi sed in architecto.,Activo,1966-07-09,Presencial,Matutina
112,30f81294-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Dibujante técnico,Omnis aliquam accusamus aliquam. Voluptate nobis repellendus dignissimos cum.,Inactivo,1973-03-24,Presencial,En linea
