,Id_Can,Nombre_Can,Estado_Can,Id_Pro
239,8c051ed6-74f7-11ed-884d-0242ac1c000c,GUAMOTE,Activo,5d69fde4-74f7-11ed-8d69-0242ac1c000c
242,8c051f3a-74f7-11ed-884d-0242ac1c000c,GUANO,Activo,5d69eeee-74f7-11ed-8d69-0242ac1c000c
252,8c051f94-74f7-11ed-884d-0242ac1c000c,PALLATANGA,Inactivo,5d69f132-74f7-11ed-8d69-0242ac1c000c
253,8c051ff8-74f7-11ed-884d-0242ac1c000c, PENIPE,Inactivo,5d69f1f0-74f7-11ed-8d69-0242ac1c000c
260,8c052052-74f7-11ed-884d-0242ac1c000c,CUMANDA,Inactivo,5d69f29a-74f7-11ed-8d69-0242ac1c000c
261,8c0520b6-74f7-11ed-884d-0242ac1c000c,MACHALA,Inactivo,5d69f330-74f7-11ed-8d69-0242ac1c000c
263,8c05211a-74f7-11ed-884d-0242ac1c000c,ARENILLAS,Inactivo,5d69f3c6-74f7-11ed-8d69-0242ac1c000c
267,8c05217e-74f7-11ed-884d-0242ac1c000c,ATAHUALPA,Activo,5d69f452-74f7-11ed-8d69-0242ac1c000c
273,8c0521e2-74f7-11ed-884d-0242ac1c000c,BALSAS,Activo,5d69f4f2-74f7-11ed-8d69-0242ac1c000c
275,8c052246-74f7-11ed-884d-0242ac1c000c,CHILLA,Inactivo,5d69f57e-74f7-11ed-8d69-0242ac1c000c
276,8c0522aa-74f7-11ed-884d-0242ac1c000c,EL GUABO,Activo,5d69f60a-74f7-11ed-8d69-0242ac1c000c
281,8c05230e-74f7-11ed-884d-0242ac1c000c,HUAQUILLAS,Activo,5d69f68c-74f7-11ed-8d69-0242ac1c000c
282,8c052372-74f7-11ed-884d-0242ac1c000c,MARCABELI,Inactivo,5d69f718-74f7-11ed-8d69-0242ac1c000c
284,8c0523d6-74f7-11ed-884d-0242ac1c000c,PASAJE,Inactivo,5d69f7a4-74f7-11ed-8d69-0242ac1c000c
291,8c052430-74f7-11ed-884d-0242ac1c000c,PIÑAS,Activo,5d69f826-74f7-11ed-8d69-0242ac1c000c
298,8c052494-74f7-11ed-884d-0242ac1c000c,PORTOVELO,Inactivo,5d69f8a8-74f7-11ed-8d69-0242ac1c000c
302,8c0524f8-74f7-11ed-884d-0242ac1c000c,SANTA ROSA,Inactivo,5d69f92a-74f7-11ed-8d69-0242ac1c000c
310,8c05255c-74f7-11ed-884d-0242ac1c000c,ZARUMA,Inactivo,5d69f9ac-74f7-11ed-8d69-0242ac1c000c
320,8c0525c0-74f7-11ed-884d-0242ac1c000c,LAS LAJAS,Inactivo,5d69fa42-74f7-11ed-8d69-0242ac1c000c
324,8c05261a-74f7-11ed-884d-0242ac1c000c, ESMERALDAS,Activo,5d69face-74f7-11ed-8d69-0242ac1c000c
333,8c05267e-74f7-11ed-884d-0242ac1c000c,ELOY ALFARO,Activo,5d69fb5a-74f7-11ed-8d69-0242ac1c000c
348,8c0526e2-74f7-11ed-884d-0242ac1c000c,MUISNE,Inactivo,5d69fbe6-74f7-11ed-8d69-0242ac1c000c
357,8c05278c-74f7-11ed-884d-0242ac1c000c,QUININDE,Activo,5d69fc72-74f7-11ed-8d69-0242ac1c000c
363,8c0527f0-74f7-11ed-884d-0242ac1c000c,SAN LORENZO,Activo,5d69fcfe-74f7-11ed-8d69-0242ac1c000c
376,8c052854-74f7-11ed-884d-0242ac1c000c,ATACAMES,Activo,5d69fde4-74f7-11ed-8d69-0242ac1c000c
381,8c0528b8-74f7-11ed-884d-0242ac1c000c,RIOVERDE,Activo,5d69eeee-74f7-11ed-8d69-0242ac1c000c
387,8c052926-74f7-11ed-884d-0242ac1c000c,LA CONCORDIA,Inactivo,5d69f132-74f7-11ed-8d69-0242ac1c000c
388,8c052980-74f7-11ed-884d-0242ac1c000c, GUAYAQUIL,Activo,5d69f1f0-74f7-11ed-8d69-0242ac1c000c
394,8c0529ee-74f7-11ed-884d-0242ac1c000c,ALFREDO BAQUERIZO MORENO (JUJAN),Activo,5d69f29a-74f7-11ed-8d69-0242ac1c000c
395,8c052a48-74f7-11ed-884d-0242ac1c000c,BALAO,Inactivo,5d69f330-74f7-11ed-8d69-0242ac1c000c
396,8c052aac-74f7-11ed-884d-0242ac1c000c,BALZAR,Inactivo,5d69f3c6-74f7-11ed-8d69-0242ac1c000c
397,8c052b10-74f7-11ed-884d-0242ac1c000c,COLIMES,Inactivo,5d69f452-74f7-11ed-8d69-0242ac1c000c
399,8c052b9c-74f7-11ed-884d-0242ac1c000c,DAULE,Inactivo,5d69f4f2-74f7-11ed-8d69-0242ac1c000c
404,8c052c00-74f7-11ed-884d-0242ac1c000c,DURAN,Inactivo,5d69f57e-74f7-11ed-8d69-0242ac1c000c
405,8c052c5a-74f7-11ed-884d-0242ac1c000c, EL EMPALME,Inactivo,5d69f60a-74f7-11ed-8d69-0242ac1c000c
408,8c052cbe-74f7-11ed-884d-0242ac1c000c,EL TRIUNFO,Inactivo,5d69f68c-74f7-11ed-8d69-0242ac1c000c
409,8c052d18-74f7-11ed-884d-0242ac1c000c, MILAGRO,Activo,5d69f718-74f7-11ed-8d69-0242ac1c000c
413,8c052d7c-74f7-11ed-884d-0242ac1c000c,NARANJAL,Activo,5d69f7a4-74f7-11ed-8d69-0242ac1c000c
418,8c052de0-74f7-11ed-884d-0242ac1c000c,NARANJITO,Inactivo,5d69f826-74f7-11ed-8d69-0242ac1c000c
419,8c052e3a-74f7-11ed-884d-0242ac1c000c,PALESTINA,Activo,5d69f8a8-74f7-11ed-8d69-0242ac1c000c
420,8c052e9e-74f7-11ed-884d-0242ac1c000c,PEDRO CARBO,Activo,5d69f92a-74f7-11ed-8d69-0242ac1c000c
423,8c052ef8-74f7-11ed-884d-0242ac1c000c,SAMBORONDON,Activo,5d69f9ac-74f7-11ed-8d69-0242ac1c000c
425,8c052f5c-74f7-11ed-884d-0242ac1c000c, SANTA LUCIA,Inactivo,5d69fa42-74f7-11ed-8d69-0242ac1c000c
426,8c052fc0-74f7-11ed-884d-0242ac1c000c,SALITRE (URBINA JADO),Activo,5d69face-74f7-11ed-8d69-0242ac1c000c
430,8c053024-74f7-11ed-884d-0242ac1c000c,SAN JACINTO DE YAGUACHI,Inactivo,5d69fb5a-74f7-11ed-8d69-0242ac1c000c
434,8c05307e-74f7-11ed-884d-0242ac1c000c, PLAYAS,Inactivo,5d69fbe6-74f7-11ed-8d69-0242ac1c000c
435,8c0530e2-74f7-11ed-884d-0242ac1c000c,SIMON BOLIVAR,Activo,5d69fc72-74f7-11ed-8d69-0242ac1c000c
437,8c05313c-74f7-11ed-884d-0242ac1c000c,CORONEL MARCELINO MARIDUEÑA,Activo,5d69fcfe-74f7-11ed-8d69-0242ac1c000c
438,8c0531a0-74f7-11ed-884d-0242ac1c000c,LOMAS DE SARGENTILLO,Inactivo,5d69fde4-74f7-11ed-8d69-0242ac1c000c
439,8c05322c-74f7-11ed-884d-0242ac1c000c,NOBOL,Inactivo,5d69eeee-74f7-11ed-8d69-0242ac1c000c
440,8c0532a4-74f7-11ed-884d-0242ac1c000c,GENERAL ANTONIO ELIZALDE ,Activo,5d69f132-74f7-11ed-8d69-0242ac1c000c
441,8c0532fe-74f7-11ed-884d-0242ac1c000c,ISIDRO AYORA ,Activo,5d69f1f0-74f7-11ed-8d69-0242ac1c000c
442,8c05336c-74f7-11ed-884d-0242ac1c000c, IBARRA,Inactivo,5d69f29a-74f7-11ed-8d69-0242ac1c000c
450,8c0533d0-74f7-11ed-884d-0242ac1c000c,ANTONIO ANTE,Activo,5d69f330-74f7-11ed-8d69-0242ac1c000c
455,8c053434-74f7-11ed-884d-0242ac1c000c,COTACACHI,Inactivo,5d69f3c6-74f7-11ed-8d69-0242ac1c000c
464,8c053498-74f7-11ed-884d-0242ac1c000c,OTAVALO,Activo,5d69f452-74f7-11ed-8d69-0242ac1c000c
474,8c0534fc-74f7-11ed-884d-0242ac1c000c,PIMAMPIRO,Inactivo,5d69f4f2-74f7-11ed-8d69-0242ac1c000c
478,8c053556-74f7-11ed-884d-0242ac1c000c,SAN MIGUEL DE URCUQUI,Inactivo,5d69f57e-74f7-11ed-8d69-0242ac1c000c
484,8c0535ba-74f7-11ed-884d-0242ac1c000c, LOJA,Inactivo,5d69f60a-74f7-11ed-8d69-0242ac1c000c
498,8c05361e-74f7-11ed-884d-0242ac1c000c,CALVAS,Activo,5d69f68c-74f7-11ed-8d69-0242ac1c000c
503,8c053682-74f7-11ed-884d-0242ac1c000c,CATAMAYO,Activo,5d69f718-74f7-11ed-8d69-0242ac1c000c
508,8c0536f0-74f7-11ed-884d-0242ac1c000c,CELICA,Activo,5d69f7a4-74f7-11ed-8d69-0242ac1c000c
513,8c053754-74f7-11ed-884d-0242ac1c000c,CHAGUARPAMBA,Activo,5d69f826-74f7-11ed-8d69-0242ac1c000c
518,8c0537b8-74f7-11ed-884d-0242ac1c000c, ESPINDOLA,Activo,5d69f8a8-74f7-11ed-8d69-0242ac1c000c
525,8c05381c-74f7-11ed-884d-0242ac1c000c, GONZANAMA,Inactivo,5d69f92a-74f7-11ed-8d69-0242ac1c000c
530,8c053880-74f7-11ed-884d-0242ac1c000c,MACARA,Inactivo,5d69f9ac-74f7-11ed-8d69-0242ac1c000c
534,8c053902-74f7-11ed-884d-0242ac1c000c,PALTAS,Activo,5d69fa42-74f7-11ed-8d69-0242ac1c000c
542,8c05395c-74f7-11ed-884d-0242ac1c000c, PUYANGO,Inactivo,5d69face-74f7-11ed-8d69-0242ac1c000c
548,8c0539c0-74f7-11ed-884d-0242ac1c000c,SARAGURO,Inactivo,5d69fb5a-74f7-11ed-8d69-0242ac1c000c
559,8c053a24-74f7-11ed-884d-0242ac1c000c,SOZORANGA,Inactivo,5d69fbe6-74f7-11ed-8d69-0242ac1c000c
562,8c053a88-74f7-11ed-884d-0242ac1c000c,ZAPOTILLO,Inactivo,5d69fc72-74f7-11ed-8d69-0242ac1c000c
568,8c053ae2-74f7-11ed-884d-0242ac1c000c, PINDAL,Inactivo,5d69fcfe-74f7-11ed-8d69-0242ac1c000c
571,8c053b46-74f7-11ed-884d-0242ac1c000c,QUILANGA,Inactivo,5d69fde4-74f7-11ed-8d69-0242ac1c000c
574,8c053c40-74f7-11ed-884d-0242ac1c000c,OLMEDO,Activo,5d69eeee-74f7-11ed-8d69-0242ac1c000c
576,8c053ce0-74f7-11ed-884d-0242ac1c000c,BABAHOYO,Activo,5d69f132-74f7-11ed-8d69-0242ac1c000c
581,8c053d4e-74f7-11ed-884d-0242ac1c000c,BABA,Activo,5d69f1f0-74f7-11ed-8d69-0242ac1c000c
584,8c053db2-74f7-11ed-884d-0242ac1c000c, MONTALVO,Activo,5d69f29a-74f7-11ed-8d69-0242ac1c000c
585,8c053e0c-74f7-11ed-884d-0242ac1c000c,PUEBLOVIEJO,Activo,5d69f330-74f7-11ed-8d69-0242ac1c000c
588,8c053e70-74f7-11ed-884d-0242ac1c000c,QUEVEDO,Inactivo,5d69f3c6-74f7-11ed-8d69-0242ac1c000c
591,8c053eca-74f7-11ed-884d-0242ac1c000c,URDANETA,Inactivo,5d69f452-74f7-11ed-8d69-0242ac1c000c
593,8c053f2e-74f7-11ed-884d-0242ac1c000c,VENTANAS,Activo,5d69f4f2-74f7-11ed-8d69-0242ac1c000c
595,8c053f92-74f7-11ed-884d-0242ac1c000c,VINCES,Activo,5d69f57e-74f7-11ed-8d69-0242ac1c000c
597,8c053fec-74f7-11ed-884d-0242ac1c000c,PALENQUE,Activo,5d69f60a-74f7-11ed-8d69-0242ac1c000c
598,8c054078-74f7-11ed-884d-0242ac1c000c,BUENA FE,Inactivo,5d69f68c-74f7-11ed-8d69-0242ac1c000c
600,8c0540dc-74f7-11ed-884d-0242ac1c000c,VALENCIA,Inactivo,5d69f718-74f7-11ed-8d69-0242ac1c000c
601,8c054136-74f7-11ed-884d-0242ac1c000c, MOCACHE,Inactivo,5d69f7a4-74f7-11ed-8d69-0242ac1c000c
602,8c054244-74f7-11ed-884d-0242ac1c000c,QUINSALOMA,Inactivo,5d69f826-74f7-11ed-8d69-0242ac1c000c
603,8c0542a8-74f7-11ed-884d-0242ac1c000c,PORTOVIEJO,Activo,5d69f8a8-74f7-11ed-8d69-0242ac1c000c
611,8c054316-74f7-11ed-884d-0242ac1c000c,BOLIVAR,Inactivo,5d69f92a-74f7-11ed-8d69-0242ac1c000c
614,8c05437a-74f7-11ed-884d-0242ac1c000c,CHONE,Inactivo,5d69f9ac-74f7-11ed-8d69-0242ac1c000c
622,8c0543de-74f7-11ed-884d-0242ac1c000c,EL CARMEN,Inactivo,5d69fa42-74f7-11ed-8d69-0242ac1c000c
625,8c054442-74f7-11ed-884d-0242ac1c000c, FLAVIO ALFARO,Activo,5d69face-74f7-11ed-8d69-0242ac1c000c
628,8c0544a6-74f7-11ed-884d-0242ac1c000c, JIPIJAPA,Activo,5d69fb5a-74f7-11ed-8d69-0242ac1c000c
636,8c05450a-74f7-11ed-884d-0242ac1c000c,JUNIN,Inactivo,5d69fbe6-74f7-11ed-8d69-0242ac1c000c
637,8c05456e-74f7-11ed-884d-0242ac1c000c, MANTA,Inactivo,5d69fc72-74f7-11ed-8d69-0242ac1c000c
640,8c0545dc-74f7-11ed-884d-0242ac1c000c, MONTECRISTI   ,Activo,5d69fcfe-74f7-11ed-8d69-0242ac1c000c
642,8c054640-74f7-11ed-884d-0242ac1c000c,PAJAN,Inactivo,5d69fde4-74f7-11ed-8d69-0242ac1c000c
647,8c0546a4-74f7-11ed-884d-0242ac1c000c, PICHINCHA,Activo,5d69eeee-74f7-11ed-8d69-0242ac1c000c
650,8c054712-74f7-11ed-884d-0242ac1c000c,ROCAFUERTE,Activo,5d69f132-74f7-11ed-8d69-0242ac1c000c
651,8c054780-74f7-11ed-884d-0242ac1c000c,SANTA ANA,Inactivo,5d69f1f0-74f7-11ed-8d69-0242ac1c000c
656,8c05480c-74f7-11ed-884d-0242ac1c000c, SUCRE,Inactivo,5d69f29a-74f7-11ed-8d69-0242ac1c000c
659,8c05487a-74f7-11ed-884d-0242ac1c000c, TOSAGUA,Activo,5d69f330-74f7-11ed-8d69-0242ac1c000c
662,8c0548f2-74f7-11ed-884d-0242ac1c000c,24 DE MAYO,Activo,5d69f3c6-74f7-11ed-8d69-0242ac1c000c
666,8c054956-74f7-11ed-884d-0242ac1c000c, PEDERNALES,Inactivo,5d69f452-74f7-11ed-8d69-0242ac1c000c
671,8c0549ba-74f7-11ed-884d-0242ac1c000c,PUERTO LOPEZ,Activo,5d69f4f2-74f7-11ed-8d69-0242ac1c000c
674,8c054a1e-74f7-11ed-884d-0242ac1c000c, JAMA,Inactivo,5d69f57e-74f7-11ed-8d69-0242ac1c000c
675,8c054a8c-74f7-11ed-884d-0242ac1c000c, JARAMIJO,Inactivo,5d69f60a-74f7-11ed-8d69-0242ac1c000c
676,8c054af0-74f7-11ed-884d-0242ac1c000c,SAN VICENTE,Activo,5d69f68c-74f7-11ed-8d69-0242ac1c000c
678,8c054b54-74f7-11ed-884d-0242ac1c000c,MORONA,Activo,5d69f718-74f7-11ed-8d69-0242ac1c000c
687,8c054bb8-74f7-11ed-884d-0242ac1c000c, GUALAQUIZA,Inactivo,5d69f7a4-74f7-11ed-8d69-0242ac1c000c
696,8c054c26-74f7-11ed-884d-0242ac1c000c,LIMON INDANZA,Activo,5d69f826-74f7-11ed-8d69-0242ac1c000c
702,8c054c8a-74f7-11ed-884d-0242ac1c000c,PALORA,Activo,5d69f8a8-74f7-11ed-8d69-0242ac1c000c
707,8c054cee-74f7-11ed-884d-0242ac1c000c,SANTIAGO,Activo,5d69f92a-74f7-11ed-8d69-0242ac1c000c
714,8c054dc0-74f7-11ed-884d-0242ac1c000c,SUCUA,Inactivo,5d69f9ac-74f7-11ed-8d69-0242ac1c000c
718,8c054e1a-74f7-11ed-884d-0242ac1c000c, HUAMBOYA,Inactivo,5d69fa42-74f7-11ed-8d69-0242ac1c000c
720,8c054eb0-74f7-11ed-884d-0242ac1c000c,SAN JUAN BOSCO ,Activo,5d69face-74f7-11ed-8d69-0242ac1c000c
725,8c054f0a-74f7-11ed-884d-0242ac1c000c,TAISHA ,Activo,5d69fb5a-74f7-11ed-8d69-0242ac1c000c
730,8c054f8c-74f7-11ed-884d-0242ac1c000c,LOGROÑO ,Activo,5d69fbe6-74f7-11ed-8d69-0242ac1c000c
733,8c054ff0-74f7-11ed-884d-0242ac1c000c,PABLO SEXTO,Inactivo,5d69fc72-74f7-11ed-8d69-0242ac1c000c
734,8c05504a-74f7-11ed-884d-0242ac1c000c,CANTON TIWINTZA,Activo,5d69fcfe-74f7-11ed-8d69-0242ac1c000c
736,8c0550ae-74f7-11ed-884d-0242ac1c000c,TENA,Inactivo,5d69fde4-74f7-11ed-8d69-0242ac1c000c
743,8c055108-74f7-11ed-884d-0242ac1c000c,ARCHIDONA,Inactivo,5d69eeee-74f7-11ed-8d69-0242ac1c000c
746,8c05516c-74f7-11ed-884d-0242ac1c000c,EL CHACO,Activo,5d69f132-74f7-11ed-8d69-0242ac1c000c
752,8c0551c6-74f7-11ed-884d-0242ac1c000c,QUIJOS,Inactivo,5d69f1f0-74f7-11ed-8d69-0242ac1c000c
758,8c05522a-74f7-11ed-884d-0242ac1c000c, CARLOS JULIO AROSEMENA TOLA,Inactivo,5d69f29a-74f7-11ed-8d69-0242ac1c000c
759,8c05528e-74f7-11ed-884d-0242ac1c000c,PASTAZA,Activo,5d69f330-74f7-11ed-8d69-0242ac1c000c
773,8c0552e8-74f7-11ed-884d-0242ac1c000c,MERA,Activo,5d69f3c6-74f7-11ed-8d69-0242ac1c000c
776,8c05534c-74f7-11ed-884d-0242ac1c000c, SANTA CLARA,Inactivo,5d69f452-74f7-11ed-8d69-0242ac1c000c
778,8c0553a6-74f7-11ed-884d-0242ac1c000c, ARAJUNO,Inactivo,5d69f4f2-74f7-11ed-8d69-0242ac1c000c
780,8c055400-74f7-11ed-884d-0242ac1c000c,QUITO,Activo,5d69f57e-74f7-11ed-8d69-0242ac1c000c
814,8c055464-74f7-11ed-884d-0242ac1c000c,CAYAMBE,Inactivo,5d69f60a-74f7-11ed-8d69-0242ac1c000c
820,8c0554be-74f7-11ed-884d-0242ac1c000c, MEJIA,Inactivo,5d69f68c-74f7-11ed-8d69-0242ac1c000c
828,8c055522-74f7-11ed-884d-0242ac1c000c, PEDRO MONCAYO,Activo,5d69f718-74f7-11ed-8d69-0242ac1c000c
833,8c055586-74f7-11ed-884d-0242ac1c000c,RUMIÑAHUI,Inactivo,5d69f7a4-74f7-11ed-8d69-0242ac1c000c
836,8c055608-74f7-11ed-884d-0242ac1c000c, SAN MIGUEL DE LOS BANCOS,Activo,5d69f826-74f7-11ed-8d69-0242ac1c000c
838,8c055662-74f7-11ed-884d-0242ac1c000c, PEDRO VICENTE MALDONADO,Inactivo,5d69f8a8-74f7-11ed-8d69-0242ac1c000c
839,8c0556c6-74f7-11ed-884d-0242ac1c000c,PUERTO QUITO,Inactivo,5d69f92a-74f7-11ed-8d69-0242ac1c000c
840,8c05572a-74f7-11ed-884d-0242ac1c000c,AMBATO,Inactivo,5d69f9ac-74f7-11ed-8d69-0242ac1c000c
859,8c055784-74f7-11ed-884d-0242ac1c000c,BAÑOS DE AGUA SANTA,Activo,5d69fa42-74f7-11ed-8d69-0242ac1c000c
864,8c0557e8-74f7-11ed-884d-0242ac1c000c, CEVALLOS,Activo,5d69face-74f7-11ed-8d69-0242ac1c000c
865,8c05584c-74f7-11ed-884d-0242ac1c000c, MOCHA,Activo,5d69fb5a-74f7-11ed-8d69-0242ac1c000c
867,8c0558a6-74f7-11ed-884d-0242ac1c000c, PATATE,Activo,5d69fbe6-74f7-11ed-8d69-0242ac1c000c
871,8c055900-74f7-11ed-884d-0242ac1c000c, QUERO,Inactivo,5d69fc72-74f7-11ed-8d69-0242ac1c000c
874,8c055964-74f7-11ed-884d-0242ac1c000c,SAN PEDRO DE PELILEO,Inactivo,5d69fcfe-74f7-11ed-8d69-0242ac1c000c
883,8c0559be-74f7-11ed-884d-0242ac1c000c,SANTIAGO DE PILLARO,Activo,5d69fde4-74f7-11ed-8d69-0242ac1c000c
891,8c055a2c-74f7-11ed-884d-0242ac1c000c,TISALEO,Inactivo,5d69eeee-74f7-11ed-8d69-0242ac1c000c
893,8c055a86-74f7-11ed-884d-0242ac1c000c,ZAMORA,Inactivo,5d69f132-74f7-11ed-8d69-0242ac1c000c
900,8c055af4-74f7-11ed-884d-0242ac1c000c, CHINCHIPE,Activo,5d69f1f0-74f7-11ed-8d69-0242ac1c000c
906,8c055b58-74f7-11ed-884d-0242ac1c000c, NANGARITZA,Inactivo,5d69f29a-74f7-11ed-8d69-0242ac1c000c
909,8c055bb2-74f7-11ed-884d-0242ac1c000c, YACUAMBI,Inactivo,5d69f330-74f7-11ed-8d69-0242ac1c000c
912,8c055c16-74f7-11ed-884d-0242ac1c000c, YANTZAZA (YANZATZA),Activo,5d69f3c6-74f7-11ed-8d69-0242ac1c000c
915,8c055c98-74f7-11ed-884d-0242ac1c000c, EL PANGUI,Activo,5d69f452-74f7-11ed-8d69-0242ac1c000c
