,ID_Parametros,Accion_Afir_Socioeco_Para,Accion_Afir_Terri_Para,Accion_Afir_Rural_Para,Accion_Afir_Vulnera_Para,Accion_Afir_Pueblos_Nacion_Para,Cupos_Oferta_Car_Para,Fecha_Cupos_Oferta_Car_Para,Puntaje_Refer_Car_Para
30,0aaa75ca-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,5,Verdadero,22,2022-09-08,702
31,0aaa7674-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,1,Falso,5,2022-05-11,876
32,0aaa7714-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,1,Falso,13,2022-11-02,866
33,0aaa77aa-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,2,Falso,13,2022-08-06,866
34,0aaa784a-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,1,Falso,26,2022-09-21,773
35,0aaa78e0-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,3,Falso,2,2022-11-30,916
36,0aaa7980-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,6,Falso,5,2022-09-28,801
37,0aaa7a16-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,2,Falso,5,2022-05-27,702
38,0aaa7aac-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,5,Verdadero,35,2022-09-29,998
39,0aaa7b4c-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,4,Falso,48,2022-06-07,884
40,0aaa7be2-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,3,Verdadero,15,2022-10-24,873
41,0aaa7c82-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,2,Falso,36,2022-09-10,840
42,0aaa7d22-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,2,Verdadero,23,2022-09-12,840
43,0aaa7db8-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,1,Falso,49,2022-09-01,842
44,0aaa7e58-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,5,Verdadero,21,2022-07-01,973
45,0aaa7eee-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,0,Verdadero,40,2022-09-06,743
46,0aaa7f8e-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,1,Falso,10,2022-06-14,973
47,0aaa8038-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,3,Falso,33,2022-05-27,826
48,0aaa80d8-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,1,Falso,41,2022-06-17,915
49,0aaa8178-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,1,Verdadero,22,2022-07-14,811
50,0aaa8286-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,6,Verdadero,18,2022-11-06,932
51,0aaa8344-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,0,Verdadero,42,2022-06-05,765
52,0aaa83e4-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,4,Falso,27,2022-11-26,911
53,0aaa847a-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,0,Falso,17,2022-09-16,993
54,0aaa8510-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,2,Verdadero,10,2022-06-08,784
55,0aaa85b0-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,3,Verdadero,32,2022-06-04,860
56,0aaa8650-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,0,Falso,31,2022-09-03,786
57,0aaa877c-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,0,Falso,27,2022-06-25,915
58,0aaa881c-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,6,Falso,3,2022-11-11,758
59,0aaa88bc-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,4,Verdadero,9,2022-10-04,961
60,0aaa895c-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,5,Verdadero,22,2022-08-28,758
61,0aaa8a1a-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,1,Verdadero,33,2022-07-14,999
62,0aaa8be6-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,2,Falso,44,2022-05-16,943
63,0aaa8c9a-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,5,Falso,28,2022-05-09,974
64,0aaa8d44-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,5,Falso,26,2022-06-10,770
65,0aaa8de4-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,6,Falso,7,2022-09-23,846
66,0aaa8e8e-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,2,Verdadero,8,2022-07-20,762
67,0aaa8f2e-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,4,Verdadero,8,2022-11-21,951
68,0aaa8fce-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,6,Verdadero,47,2022-06-19,720
69,0aaa906e-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,3,Falso,31,2022-10-25,702
70,0aaa9104-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,1,Falso,1,2022-11-24,961
71,0aaa919a-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,3,Falso,27,2022-11-18,853
72,0aaa9230-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,3,Verdadero,0,2022-11-20,850
73,0aaa937a-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,3,Verdadero,2,2022-10-25,851
74,0aaa9438-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,1,Verdadero,49,2022-11-13,911
75,0aaa94ec-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,3,Verdadero,40,2022-08-18,825
76,0aaa9672-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,4,Verdadero,22,2022-08-08,781
77,0aaa9730-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,0,Verdadero,27,2022-09-29,770
78,0aaa97d0-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,4,Falso,40,2022-11-08,765
79,0aaa987a-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,4,Verdadero,6,2022-09-15,855
80,0aaa991a-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,6,Falso,33,2022-06-04,823
81,0aaa99ba-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,3,Falso,46,2022-07-12,827
82,0aaa9a64-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,1,Falso,31,2022-10-31,787
83,0aaa9b04-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,0,Falso,36,2022-08-24,989
84,0aaa9ba4-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,3,Falso,30,2022-06-30,950
85,0aaa9c44-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,2,Falso,44,2022-08-13,847
86,0aaa9ce4-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,2,Verdadero,8,2022-08-19,789
87,0aaa9d8e-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,0,Falso,1,2022-10-24,729
88,0aaa9e2e-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,6,Verdadero,14,2022-10-17,888
89,0aaa9ee2-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,1,Verdadero,37,2022-10-21,856
90,0aaa9f8c-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,1,Verdadero,42,2022-05-10,955
91,0aaaa036-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,5,Verdadero,19,2022-07-31,976
92,0aaaa0d6-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,2,Falso,24,2022-05-03,932
93,0aaaa1c6-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,3,Falso,45,2022-06-21,874
94,0aaaa270-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,6,Verdadero,32,2022-05-24,751
95,0aaaa8f6-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,5,Verdadero,35,2022-08-09,897
96,0aaaaefa-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,5,Verdadero,21,2022-09-11,716
97,0aaaafc2-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,1,Falso,29,2022-05-15,947
98,0aaaba12-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,3,Verdadero,46,2022-07-11,813
99,0aaac0a2-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,4,Falso,47,2022-07-18,927
100,0aaac700-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,1,Verdadero,0,2022-08-26,775
101,0aaac89a-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,4,Falso,10,2022-05-17,779
102,0aaac944-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,3,Falso,21,2022-05-20,927
103,0aaac9da-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,4,Verdadero,7,2022-11-10,701
104,0aaaca7a-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,5,Falso,2,2022-11-07,740
105,0aaacb10-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,1,Falso,10,2022-05-10,857
106,0aaacba6-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,4,Verdadero,24,2022-11-30,907
107,0aaacc50-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,6,Falso,27,2022-09-15,959
108,0aaacce6-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,3,Verdadero,0,2022-08-17,716
109,0aaacd7c-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,4,Falso,27,2022-06-22,947
110,0aaace62-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,5,Falso,27,2022-11-07,951
111,0aaacf02-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,3,Verdadero,48,2022-07-07,985
112,0aaacf98-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,4,Verdadero,29,2022-05-21,990
113,0aaad060-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,1,Verdadero,5,2022-07-15,865
114,0aaad100-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,6,Falso,35,2022-08-17,902
115,0aaad196-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,6,Verdadero,3,2022-10-16,936
116,0aaad236-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,4,Falso,17,2022-10-28,955
117,0aaad2d6-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,0,Verdadero,10,2022-05-14,891
118,0aaad36c-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,1,Falso,5,2022-09-27,842
119,0aaad402-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,5,Verdadero,35,2022-07-25,959
120,0aaad4ca-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,0,Falso,15,2022-07-31,940
121,0aaad560-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,5,Verdadero,5,2022-07-28,971
122,0aaad600-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,5,Falso,44,2022-05-16,957
123,0aaad696-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,2,Falso,45,2022-07-17,950
124,0aaad72c-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,2,Falso,37,2022-05-24,779
125,0aaad7c2-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,1,Falso,19,2022-10-23,845
126,0aaad858-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,5,Verdadero,16,2022-09-10,929
127,0aaadbbe-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,6,Verdadero,42,2022-05-24,774
128,0aaadc72-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,2,Falso,26,2022-09-20,772
129,0aaadd12-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,4,Verdadero,4,2022-08-26,952
130,0aaadda8-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,0,Verdadero,4,2022-06-02,802
131,0aaade3e-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,2,Verdadero,45,2022-08-22,744
132,0aaaded4-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,3,Falso,13,2022-07-08,974
133,0aaadf6a-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,2,Falso,48,2022-08-31,867
134,0aaae000-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,0,Falso,49,2022-09-10,727
135,0aaae096-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,0,Verdadero,49,2022-10-16,850
136,0aaae136-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,3,Verdadero,30,2022-06-06,720
137,0aaae1cc-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,3,Falso,20,2022-10-22,871
138,0aaae262-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,0,Falso,4,2022-06-17,801
139,0aaae2f8-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,3,Falso,25,2022-08-17,842
140,0aaae38e-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,3,Falso,12,2022-05-04,801
141,0aaae424-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,5,Falso,39,2022-05-28,700
142,0aaae4ba-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,3,Falso,30,2022-08-29,826
143,0aaae596-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,4,Verdadero,36,2022-10-14,981
144,0aaae640-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,0,Falso,34,2022-08-16,779
145,0aaae6fe-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,3,Verdadero,36,2022-07-26,881
146,0aaae794-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,2,Verdadero,8,2022-08-11,824
147,0aaae834-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,0,Falso,4,2022-11-02,707
148,0aaae8ca-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,5,Verdadero,45,2022-10-19,819
149,0aaae97e-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,5,Verdadero,39,2022-11-06,959
150,0aaaea28-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,4,Falso,20,2022-05-29,976
151,0aaaeac8-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,5,Falso,41,2022-08-12,854
152,0aaaeb5e-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,4,Falso,0,2022-07-11,769
153,0aaaebea-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,3,Falso,22,2022-08-28,963
154,0aaaec8a-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,4,Verdadero,15,2022-07-08,976
155,0aaaed20-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,0,Verdadero,1,2022-07-01,778
156,0aaaedb6-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,4,Falso,12,2022-05-31,721
157,0aaaee4c-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,6,Falso,10,2022-10-13,742
158,0aaaeee2-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,5,Falso,35,2022-08-24,806
159,0aaaef78-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,0,Verdadero,44,2022-06-07,843
160,0aaaf04a-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,4,Verdadero,6,2022-08-26,818
161,0aaaf0ea-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,2,Falso,32,2022-08-05,889
162,0aaaf180-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,2,Falso,6,2022-09-24,715
163,0aaaf216-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,3,Verdadero,34,2022-07-07,827
164,0aaaf2ac-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,4,Verdadero,37,2022-10-01,880
165,0aaaf342-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,5,Verdadero,12,2022-10-09,748
166,0aaaf3d8-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,4,Falso,1,2022-08-17,876
167,0aaaf478-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,1,Falso,0,2022-08-09,884
168,0aaaf50e-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,2,Falso,0,2022-10-28,816
169,0aaaf5a4-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,4,Verdadero,18,2022-08-14,840
170,0aaaf63a-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,0,Verdadero,40,2022-05-02,869
171,0aaaf6d0-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,3,Falso,5,2022-11-20,956
172,0aaaf7c0-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,2,Falso,9,2022-05-28,826
173,0aaaf860-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,1,Verdadero,0,2022-05-07,988
174,0aaaf8f6-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,6,Falso,31,2022-11-04,779
175,0aaaf98c-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,0,Falso,33,2022-11-26,985
176,0aaafa22-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,2,Falso,8,2022-10-01,727
177,0aaafb08-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,6,Falso,21,2022-07-13,875
178,0aaafbb2-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,3,Verdadero,9,2022-05-16,942
179,0aaafc48-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,4,Verdadero,34,2022-08-01,926
180,0aaafcde-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,5,Verdadero,6,2022-06-16,943
181,0aaafd7e-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,2,Falso,11,2022-06-07,700
182,0aaafe28-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,5,Falso,19,2022-06-01,938
183,0aaafee6-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,6,Falso,43,2022-09-15,700
184,0aaaff86-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,5,Verdadero,43,2022-06-19,857
185,0aab00da-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,5,Falso,44,2022-11-22,918
186,0aab0170-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,3,Falso,18,2022-05-08,778
187,0aab0206-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,4,Verdadero,24,2022-05-04,768
188,0aab02a6-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,3,Verdadero,42,2022-09-30,871
189,0aab033c-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,2,Falso,26,2022-11-16,819
190,0aab03dc-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,1,Verdadero,28,2022-11-25,700
191,0aab047c-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,4,Verdadero,27,2022-10-23,901
192,0aab0512-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,6,Verdadero,46,2022-11-22,876
193,0aab05a8-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,4,Verdadero,13,2022-11-11,947
194,0aab067a-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,0,Falso,47,2022-10-15,820
195,0aab071a-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,4,Verdadero,30,2022-06-04,825
196,0aab07b0-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,2,Verdadero,31,2022-05-20,981
197,0aab0846-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,3,Falso,42,2022-09-23,958
198,0aab08dc-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,3,Falso,4,2022-10-06,973
199,0aab0972-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,6,Verdadero,48,2022-05-04,924
200,0aab0a08-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,5,Verdadero,49,2022-10-19,898
201,0aab0aa8-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,0,Verdadero,22,2022-07-19,934
202,0aab0b66-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,2,Falso,14,2022-06-14,731
203,0aab0bfc-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,0,Verdadero,43,2022-10-12,981
204,0aab0c9c-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,3,Falso,11,2022-07-15,886
205,0aab0d32-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,2,Falso,50,2022-10-14,954
206,0aab0dc8-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,2,Falso,42,2022-05-24,958
207,0aab0e5e-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,1,Verdadero,47,2022-11-19,977
208,0aab0ef4-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,6,Verdadero,30,2022-10-01,775
209,0aab0f8a-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,1,Falso,1,2022-07-11,828
210,0aab1020-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,1,Verdadero,30,2022-09-17,701
211,0aab10f2-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,2,Falso,45,2022-08-13,964
212,0aab119c-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,2,Falso,44,2022-07-08,962
213,0aab1232-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,5,Falso,33,2022-07-23,788
214,0aab12c8-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,6,Verdadero,47,2022-06-18,842
215,0aab137c-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,0,Falso,30,2022-05-15,952
